日時	勝利	TOP(B)	KDA	増減	TOP(R)	KDA	増減	JG(B)	KDA	増減	JG(R)	KDA	増減	MID(B)	KDA	増減	MID(R)	KDA	増減	ADC(B)	KDA	増減	ADC(R)	KDA	増減	SUP(B)	KDA	増減	SUP(R)	KDA	増減	ステータス
3/27	BLUE	つぼ@雑魚	16	+101	パンティー竹本	0.1	-85	かずき	10	+317	gori	1.6	-229	こんぺい	9	+90	yukizo	2	-9	macaron	3	+219	mel21	2.3	-209	show	4.7	+61	くらげ	1.8	-27	✅計算済
3/27	RED	つぼ@雑魚	0.5	-84	gori	4.3	+27	かずき	1.2	-280	くらげ	8.3	+296	show	3.8	-191	mel21	5	+284	パンティー竹本	0.5	-96	macaron	4.3	+48	こんぺい	2.1	-258	yukizo	4.8	+290	✅計算済
3/27	BLUE	かずき	17	+95	パンティー竹本	0.5	-84	くらげ	5	+226	mel21	0.8	-161	gori	17	+87	つぼ@雑魚	0.6	-81	macaron	5	+295	こんぺい	1.4	-264	show	7	+94	yukizo	1	-49	✅計算済
3/30	BLUE	yasumatagi	4.8	+286	ロックに生きよう	0.4	-265	くらげ	5	+276	かずき	2.7	-194	yukizo	8	+269	mel21	1.3	-154	gori	2.4	+215	show	2.4	-229	watausa	3.3	+247	けいろん	2.1	-238	✅計算済
3/30	RED	かずき	1.1	-68	gori	9	+68	yasumatagi	2.7	-226	くらげ	4.8	+269	watausa	2.5	-210	けいろん	1.1	+105	ロックに生きよう	2.8	-151	mel21	2.8	+164	show	3.5	-187	yukizo	2.8	+203	✅計算済
4/1	RED	yasumatagi	2.7	-22	mel21	3.2	+34	くらげ	1.7	-227	ロックに生きよう	3.7	+208	gori	1.8	-270	yukizo	16	+317	show	2.8	-159	こんぺい	4.4	+174	tamias	1.9	-248	かずき	2.6	+203	✅計算済
4/1	RED	tamias	0.5	-143	くらげ	3	+41	かずき	1	-202	yasumatagi	3	+94	yukizo	1.5	-26	gori	6	+75	mel21	1	-191	ロックに生きよう	4	+158	show	1	-193	こんぺい	23	+193	✅計算済
4/1	RED	yasumatagi	2	-52	mel21	7	+120	ロックに生きよう	2.8	-107	くらげ	2.4	+48	gori	1.5	-243	yukizo	5	+256	こんぺい	1.1	-246	show	4.8	+206	かずき	1.1	-83	tamias	4	+71	✅計算済
4/3	BLUE	tamias	9	+250	つぼ@雑魚	0.2	-174	かずき	25	+319	show	1.4	-261	ロックに生きよう	4.8	+284	gori	2	-244	くらげ	4	+53	パンティー竹本	0.4	-87	yukizo	10.5	+310	こんぺい	1.4	-243	✅計算済
4/3	BLUE	くらげ	3.5	+213	ロックに生きよう	0.5	-260	かずき	21	+208	こんぺい	0.7	-285	gori	9.5	+47	yukizo	0.7	-33	つぼ@雑魚	7	+99	パンティー竹本	0.2	-85	tamias	8.5	+322	show	0.8	-281	✅計算済
4/3	RED	show	1.6	-53	gori	4.6	+39	ロックに生きよう	1.8	-26	tamias	7	+86	かずき	2.6	-192	つぼ@雑魚	2.3	+143	くらげ	1.8	-235	パンティー竹本	1.3	+137	こんぺい	2.4	-208	yukizo	3.7	+209	✅計算済
4/3	BLUE	つぼ@雑魚	1	+153	ロックに生きよう	0.5	-280	show	6	+84	かずき	1	-40	gori	14	+43	yukizo	0.7	-30	パンティー竹本	2.7	+182	くらげ	0.6	-236	こんぺい	11	+94	tamias	1	-61	✅計算済
4/3	RED	tamias	0.9	-98	くらげ	8	+118	パンティー竹本	1	-75	つぼ@雑魚	9.5	+102	かずき	1	-66	ロックに生きよう	9.5	+89	こんぺい	1.7	-272	gori	2.4	+199	yukizo	1.1	-40	show	4.8	+44	✅計算済
2026/04/04 21:03:03	RED	パンティー竹本	0.6	-102	もり	6	+103	かずき	3.4	-16	gori	5.5	+181	kito	1.3	-50	ロックに生きよう	16	+90	show	2.5	-155	こんぺい	4	+151	yukizo	2.7	-146	tamias	2	+178	✅計算済
2026/04/04 21:05:18	RED	kito	0.8	-57	show	2.3	+10	かずき	0.4	-97	tamias	15	+151	ロックに生きよう	0.1	-93	gori	18	+53	パンティー竹本	0	-17	もり	6	+140	yukizo	0	-5	こんぺい	11	+57	✅計算済
2026/04/04 21:51:32	RED	パンティー竹本	0.4	-97	もり	3.6	+30	gori	2.4	-119	tamias	5.6	+201	yukizo	1.5	-40	ロックに生きよう	4.8	+84	show	4.3	-64	こんぺい	3.3	+63	kito	2.6	-31	かずき	2.5	+29	✅計算済
2026/04/04 23:00:45	BLUE	パンティー竹本	0.3	+129	ロックに生きよう	16	-110	show	16	+99	tamias	3	-7	kito	3	+32	こんぺい	1	-294	gori	3	+16	yukizo	1	-33	ましゃる	3	+11	もり	2	-46	✅計算済
2026/04/04 23:58:09	RED	パンティー竹本	0.3	-58	もり	4	+39	こんぺい	2	-240	かずき	7	+179	yukizo	0.8	-29	gori	15	+40	ロックに生きよう	1	-250	tamias	5	+265	kito	2	-59	ましゃる	5	+128	✅計算済
